ID,Position X,Position Y,Position Z,Volume_um3,Position X (voxels),Position Y (voxels),Position Z (voxels),uIntCh_1,uIntCh_2,uIntCh_3,uIntCh_4,SynapseStatus,TerminalStatus,XYZinROI?,CropX,CropY,ZStart,ZEnd
0,64.004,18.275,4.615,0.42,1033.995,295.234,14,20339.5,15526.6,6664.84,2089.6,Synapse,NA,Yes,1017.84,279.079,12,16
1,66.9,14.528,8.353,0.441,1080.779,234.701,25,22149.199,12286.6,6407.91,2449.65,Synapse,NA,Yes,1064.624,218.546,23,27
2,60.53,19.68,12.053,0.522,977.869,317.937,35,26364.699,12876.1,12012.7,3182.42,Synapse,NA,Yes,961.714,301.782,33,37
3,58.394,22.188,12.953,0.464,943.365,358.454,38,24574.9,12994.5,28206.9,10676.6,Synapse,NA,Yes,927.21,342.299,36,40
4,61.495,20.081,10.531,0.458,993.454,324.409,31,23570.801,6275.09,9581.66,2693.81,Synapse,NA,Yes,977.299,308.254,29,33
5,59.372,22.4,10.224,0.559,959.157,361.877,30,25504.1,9376.3,16636.199,11970.5,Synapse,NA,Yes,943.002,345.722,28,32
6,59.989,23.1,11.366,0.354,969.132,373.184,33,21508.699,6646.52,17941.199,4032.16,Unpaired,NA,Yes,952.977,357.029,31,35
7,63.391,21.855,5.566,0.36,1024.089,353.073,16,23619.301,17111.6,6832.76,2425.43,Synapse,NA,Yes,1007.934,336.918,14,18
8,68.26,18.057,6.172,0.372,1102.75,291.706,18,21125.801,15255.3,6195.43,9290.12,Synapse,NA,Yes,1086.595,275.551,16,20
9,67.228,21.568,6.37,0.37,1086.066,348.43,19,22880.6,13857.2,7444.77,2445.77,Synapse,NA,Yes,1069.911,332.275,17,21
10,69.544,21.523,7.82,0.314,1123.485,347.704,23,20871.5,9584.22,7692.73,2365.97,Synapse,NA,Yes,1107.33,331.549,21,25
11,69.75,20.892,10.096,0.268,1126.813,337.512,30,18814.1,13838.3,10116,2433.99,Synapse,NA,Yes,1110.658,321.357,28,32
12,68.54,21.58,11.908,0.212,1107.273,348.622,35,18640.5,9660.07,10743.7,8219.05,Synapse,NA,Yes,1091.118,332.467,33,37
14,74.578,17.306,9.021,0.137,1204.817,279.588,27,19525.699,14564.1,3938.67,3265.02,Synapse,NA,Yes,1188.662,263.433,25,29
16,74.521,16.996,11.47,0.153,1203.892,274.577,34,18492.6,12851.8,4240.88,2723.72,Synapse,NA,Yes,1187.737,258.422,32,36
18,72.368,21.779,10.425,0.37,1169.115,351.85,31,22838.6,6712.38,12737.2,2346.54,Unpaired,NA,Yes,1152.96,335.695,29,33
19,72.779,21.121,11.655,0.425,1175.756,341.205,34,24355.199,11274.8,15210,2435.67,Synapse,NA,Yes,1159.601,325.05,32,36
20,70.405,21.965,15.799,0.296,1137.394,354.85,46,17748.9,9849.32,17730.4,7111.08,Synapse,NA,Yes,1121.239,338.695,44,48
21,75.991,19.616,7.928,0.83,1227.645,316.901,23,34299.898,12464.5,5530.25,10725.7,Synapse,NA,Yes,1211.49,300.746,21,25
